,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),시가총액 (억),PSR,POR,ROE
29,동성코퍼레이션,102260,6100.0,45444970.0,7.4,0.9,3.28,86.4,8529.0,650.0,2772.14317,0.32502557978661034,4.264835646153846,12.162162162162161
30,쌍방울,102280,1145.0,129124213.0,-9.16,0.85,,279.28,1138.0,151.0,1478.47223885,1.2991847441564146,9.791206879801324,-9.27947598253275
31,LG유플러스,32640,15050.0,436611361.0,13.33,1.36,2.33,65.97,114510.0,7465.0,65710.0098305,0.5738364320190377,8.802412569390489,10.202550637659416
32,아티스,101140,2470.0,23641211.0,-21.86,8.61,,159.44,115.0,21.0,583.9379117,5.077720971304347,27.806567223809523,-39.387008234217745
33,아시아나항공,20560,5140.0,205235294.0,20.48,1.18,,30.14,57636.0,2565.0,10549.0941116,0.18302960149212297,4.112707255984406,5.761718749999999
34,SBS미디어홀딩스,101060,3340.0,139896190.0,37.11,0.68,0.75,315.66,5045.0,214.0,4672.532746,0.9261710101090188,21.8342651682243,1.8323901913230936
35,S&TC,100840,15700.0,7084612.0,69.16,0.5,3.18,200.61,2541.0,12.0,1112.284084,0.43773478315623765,92.69034033333332,0.7229612492770388
36,진양홀딩스,100250,2835.0,55895292.0,9.61,0.52,4.94,138.26,2597.0,224.0,1584.6315282,0.610177715902965,7.07424789375,5.4110301768990645
37,하나니켈1호,99340,1545.0,22756200.0,,,,,,,351.58329,,,
38,하나니켈2호,99350,2310.0,3284000.0,,,,,,,75.8604,,,
39,엔케이,85310,1345.0,79983352.0,-2.38,0.59,,47.75,1646.0,292.0,1075.7760844,0.6535699176184689,3.6841646726027397,-24.789915966386555
40,한전KPS,51600,41100.0,45000000.0,20.95,2.34,1.65,210.78,12231.0,1058.0,18495.0,1.5121412803532008,17.48109640831758,11.16945107398568
41,이아이디,93230,405.0,122690174.0,-1.97,1.05,,104.11,360.0,28.0,496.8952047,1.3802644575,17.746257310714288,-53.299492385786806
42,기신정기,92440,4685.0,29200000.0,468.5,0.62,3.2,896.67,1078.0,101.0,1368.02,1.2690352504638218,13.544752475247524,0.13233724653148346
43,KSS해운,44450,9000.0,23185880.0,15.76,0.88,1.89,33.68,1411.0,326.0,2086.7292,1.4789009213323885,6.401009815950921,5.583756345177665
44,효성ITX,94280,13450.0,11558200.0,22.84,3.07,1.49,83.8,3404.0,113.0,1554.5779,0.45669150998824914,13.757326548672566,13.441330998248684
45,유나이티드제약,33270,28700.0,16207322.0,23.84,2.4,0.87,221.26,1769.0,271.0,4651.501414,2.6294524669304695,17.1642118597786,10.06711409395973
46,디아이씨,92200,8400.0,22467410.0,25.38,1.05,0.6,45.27,5575.0,348.0,1887.26244,0.33852241076233186,5.423167931034483,4.137115839243499
