,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),1년 수익률 (PBR 0.5),1년 수익률 (PBR 2),1년 수익률 (PBR 유지),시가총액 (억),PSR,POR,ROE
59,LF,093050,34100.0,29240000.0,19.3,0.95,1.47,190.4,15293.0,790.0,0.8538228286215106,1.3553592563482495,1.0575127917088802,9970.84,0.6519871836788073,12.621316455696203,4.922279792746114
60,주연테크,044380,664.0,98773270.0,41.5,1.21,,213.86,497.0,4.0,,,,655.8545128,1.3196267863179074,163.9636282,2.9156626506024095
62,인천도시가스,034590,30350.0,4374754.0,15.45,0.77,4.12,141.73,5149.0,110.0,0.9337785456824699,1.4822810457216884,1.0783277916488463,1327.737839,0.2578632431540105,12.07034399090909,4.983818770226538
63,삼정펄프,009770,42450.0,2499971.0,5.49,0.6,3.89,421.32,1521.0,119.0,,,,1061.2376895,0.6977236617357002,8.917963777310923,10.92896174863388
64,KEC,092220,1435.0,112451621.0,358.75,0.65,,84.19,2277.0,40.0,,,,1613.68076135,0.7086872030522617,40.34201903375,0.18118466898954705
65,KPX홀딩스,092230,67500.0,4224646.0,9.64,0.48,3.11,192.53,9376.0,558.0,1.0880236828228185,1.7271299386792565,1.0733188574940562,2851.63605,0.3041420701791809,5.110458870967742,4.979253112033195
66,현대EP,089470,7730.0,31900000.0,4.82,0.92,1.81,100.31,8612.0,689.0,0.8958513192714357,1.4220753266185764,1.097762889846282,2465.87,0.2863295401764979,3.578911465892598,19.08713692946058
68,노루페인트,090350,8850.0,20000000.0,19.07,0.66,2.26,98.27,4789.0,312.0,0.9644604345607046,1.5309855084033692,1.0579757822081126,1770.0,0.3695969931092086,5.673076923076923,3.46093340325118
69,아모레퍼시픽,090430,309500.0,58458490.0,33.42,5.5,0.51,128.53,56454.0,8481.0,0.5087494121002126,0.8075893519560806,1.1314485635997171,180929.02655,3.2048929491267226,21.33345437448414,16.457211250748056
70,롯데관광개발,032350,12800.0,45395023.0,376.47,3.53,,102.19,504.0,33.0,,,,5810.562944,11.528894730158731,176.07766496969697,0.9376577150901797
72,우진플라임,049800,8950.0,10000000.0,6.05,1.12,,80.68,2283.0,161.0,,,,895.0,0.39202803328953134,5.559006211180124,18.51239669421488
73,신세계 I&C,035510,125500.0,1720000.0,84.8,1.29,0.8,259.5,2963.0,87.0,0.7599456229528769,1.2063384813140257,1.0422912372890512,2158.6,0.728518393520081,24.811494252873562,1.5212264150943395
76,롯데쇼핑,023530,238000.0,28122047.0,44.56,0.43,0.84,101.64,295264.0,9404.0,1.0633755459479062,1.6880034602749647,1.011236691790355,66930.47186,0.22668009598190095,7.1172343534666105,0.9649910233393177
77,현대글로비스,086280,141500.0,37500000.0,10.49,1.53,2.12,123.97,153406.0,7288.0,0.7526053864819948,1.1946865822184518,1.0926333808872724,53062.5,0.3458958580498807,7.280804061470911,14.585319351763584
80,제일연마,001560,5820.0,10000000.0,12.49,0.62,2.75,147.74,864.0,42.0,1.0014572835844993,1.5897143454632494,1.0759026847667377,582.0,0.6736111111111112,13.857142857142858,4.963971176941554
81,현대리바트,079430,29800.0,20535282.0,15.51,1.81,0.27,146.03,7356.0,422.0,0.7066865452066822,1.1217949652728598,1.0850831336240478,6119.514036,0.8319078352365415,14.50121809478673,11.669890393294649
82,대한제강,084010,10250.0,24646734.0,6.32,0.53,3.22,158.96,8979.0,563.0,1.0516479806670092,1.6693871108110432,1.0722737657625137,2526.290235,0.2813554109589041,4.487194023090586,8.38607594936709
83,새론오토모티브,075180,7220.0,19200000.0,6.14,0.65,2.63,437.59,1975.0,280.0,1.0352296393572311,1.6433246185443284,1.129842260728397,1386.24,0.7018936708860759,4.950857142857143,10.586319218241043
87,대상홀딩스,084690,10150.0,36212538.0,13.11,0.76,1.67,120.24,33181.0,1361.0,0.9076471242143168,1.4407999997937178,1.0435939802216725,3675.572607,0.11077341270606672,2.7006411513592945,5.797101449275362
91,한미반도체,042700,12150.0,63582100.0,24.55,3.14,1.65,314.51,1663.0,386.0,,,,7725.22515,4.6453548707155745,20.01353665803109,12.790224032586558
92,동일산업,004890,81200.0,2425215.0,14.66,0.56,1.48,562.13,3044.0,123.0,,,,1969.27458,0.6469364586070959,16.01036243902439,3.8199181446111874
93,삼호개발,010960,4675.0,25000000.0,7.28,0.79,2.78,147.76,2745.0,222.0,0.9184308220586948,1.4579180530959903,1.0697085793568135,1168.75,0.4257741347905282,5.26463963963964,10.851648351648352
96,일진다이아,081000,32300.0,11277975.0,78.21,4.29,0.31,99.75,1084.0,64.0,0.5130635745545682,0.8144376579744863,1.0503489651162226,3642.785925,3.3605036208487085,56.918530078125,5.485232067510549
97,유니드,014830,49850.0,8889843.0,8.89,0.71,2.21,122.1,7409.0,680.0,0.9658004758356318,1.5331126913328694,1.0855509118793232,4431.5867355,0.5981356101363207,6.517039316911765,7.986501687289088
98,상신브레이크,041650,8020.0,21471450.0,8.85,1.03,2.0,83.71,3796.0,309.0,0.8595652567340748,1.3644747927749856,1.0937076755392081,1722.01029,0.45363811643835616,5.572848834951456,11.638418079096045
100,인팩,023810,4830.0,10000000.0,5.18,0.45,3.11,119.72,2340.0,108.0,1.1372057326768932,1.8052015763555675,1.097960063012208,483.0,0.2064102564102564,4.472222222222222,8.687258687258687
102,유니퀘스트,077500,10700.0,27080171.0,66.88,1.59,0.75,110.81,2636.0,78.0,0.7080332354607101,1.123932702798779,1.0411884716996056,2897.578297,1.0992330413505311,37.148439705128204,2.3773923444976077
103,동아에스텍,058730,6910.0,15400000.0,8.21,1.01,2.89,143.4,1571.0,158.0,,,,1064.14,0.6773647358370465,6.735063291139241,12.3020706455542
104,LG디스플레이,034220,32550.0,357815700.0,12.85,0.9,1.54,116.13,265041.0,13114.0,0.8695617281896071,1.3803432020794677,1.0577700156938163,116469.01035,0.4394377109579273,8.88127271236846,7.003891050583658
105,텔코웨어,078000,12900.0,9702706.0,27.8,0.69,3.88,922.3,409.0,46.0,0.9847176051206928,1.5631417622601942,1.0963218368332892,1251.649074,3.0602666845965767,27.209762478260867,2.4820143884892083
107,NICE,034310,16650.0,37882300.0,12.07,1.16,0.78,128.74,13464.0,1269.0,0.7945303032587595,1.2612382392135673,1.0518160512374275,6307.40295,0.46846427139037433,4.9703726950354605,9.610604805302401
108,대교,019680,8220.0,84702850.0,20.1,1.13,2.92,201.02,8207.0,428.0,0.8238312166907968,1.3077505400192126,1.0811212174562486,6962.57427,0.848370204703302,16.267696892523364,5.62189054726368
110,나노메딕스,074610,21900.0,21886139.0,175.2,27.72,,109.55,384.0,41.0,,,,4793.064441,12.4819386484375,116.90401075609758,15.82191780821918
112,이수페타시스,007660,4445.0,41268398.0,49.39,0.89,2.25,84.59,5542.0,111.0,0.8591654827488298,1.3638401911302582,1.0412383490244426,1834.3802911,0.33099608284012993,16.52594856846847,1.8019842073294188
113,강원랜드,035250,32750.0,213940500.0,15.41,2.04,3.02,251.53,16965.0,6186.0,0.7187797462662018,1.140991725356404,1.1485481821639318,70065.51375,4.1300037577365165,11.326465203685741,13.238157040882545
119,엔씨소프트,036570,442500.0,21939022.0,35.64,4.98,0.86,418.83,9836.0,3288.0,0.5235684609337123,0.8311131256635461,1.1264880529781147,97080.17235,9.869883321472143,29.525599863138684,13.973063973063974
121,DSR제강,069730,6190.0,14400000.0,10.27,0.71,0.65,89.65,1725.0,77.0,0.937110775409554,1.487570630695861,1.0533039506918929,891.36,0.5167304347826087,11.576103896103897,6.91333982473223
122,태경화학,006890,4885.0,11600000.0,14.85,0.59,3.07,133.08,513.0,38.0,1.0182904203924978,1.6164352845401913,1.0760496913148223,566.66,1.1046003898635477,14.912105263157894,3.9730639730639727
123,한농화성,011500,4495.0,15637042.0,8.01,0.68,2.45,135.48,2050.0,82.0,0.9772972270590642,1.5513626463191628,1.0827785306361974,702.8850379,0.342870750195122,8.571768754878049,8.489388264669165
124,현대백화점,069960,103500.0,23402441.0,8.78,0.64,0.68,82.26,18318.0,3832.0,0.9747807842273964,1.5473680423209557,1.0583848532100173,24221.526435,1.322280076154602,6.320857629175365,7.289293849658315
