,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),1년 수익률 (PBR 0.5),1년 수익률 (PBR 2)
565,코스모화학,005420,30600.0,14958444.0,-5.56,5.49,,17.71,2865.0,140.0,,
566,가온전선,000500,22600.0,4160347.0,24.57,0.34,2.65,125.67,7494.0,168.0,1.1713568210209457,1.8594130499187753
567,S-Oil,010950,118000.0,112582792.0,11.42,2.15,5.25,114.86,163218.0,16169.0,0.6734872462349539,1.0690943631605316
568,한화테크윈,012450,33050.0,52600000.0,5.09,0.75,0.91,100.28,35189.0,1507.0,0.8907351931797968,1.4139539826787069
569,삼화전자,011230,6290.0,4757940.0,-82.76,3.89,,24.26,388.0,1.0,,
570,현대제철,004020,60000.0,133445785.0,9.78,0.49,1.25,49.72,166915.0,14450.0,1.0456263288655065,1.6598283344067517
571,써니전자,004770,2950.0,29976480.0,73.75,2.44,,518.81,208.0,13.0,,
572,현대비앤지스틸,004560,12750.0,15078811.0,8.85,0.56,0.78,146.64,6608.0,363.0,,
573,사조오양,006090,13300.0,9422739.0,11.05,0.98,0.75,38.62,2791.0,224.0,0.8222548490704793,1.3052482124004319
574,한화투자증권,003530,3080.0,172442511.0,-2.28,0.67,,,15788.0,1929.0,,
575,삼화전기,009470,24200.0,6613820.0,218.02,7.65,0.21,76.72,1996.0,38.0,0.3977256518182005,0.6313501180909493
576,SK증권,001510,1275.0,320117171.0,36.43,0.96,,,4671.0,79.0,,
577,평화홀딩스,010770,5190.0,14625466.0,12.63,0.52,2.89,55.89,5909.0,161.0,1.0099362913903298,1.6031739313738715
578,일신석재,007110,1215.0,77456610.0,-41.9,1.87,,94.35,421.0,26.0,,
579,동부제철,016380,10500.0,25000123.0,-2.61,2.12,,53.74,23280.0,1436.0,,
580,아이에스동서,010780,36650.0,30827281.0,4.99,1.25,2.73,124.09,17241.0,3048.0,0.8170167106406744,1.2969331859466044
581,SH에너지화학,002360,1415.0,111133730.0,8.79,1.53,3.89,580.63,2184.0,241.0,0.8159462149637431,1.2952338799829164
582,대한화섬,003830,113000.0,1328000.0,9.78,0.32,,30.28,1046.0,20.0,,
583,코리아써키트,007810,11250.0,23620751.0,-45.36,0.88,0.89,139.87,5453.0,160.0,0.8342436978119033,1.324279323504456
584,신세계,004170,320000.0,9845181.0,13.87,0.97,0.39,24.43,29475.0,2514.0,0.8411128313787622,1.335183393354598
585,OCI,010060,169500.0,23849371.0,16.7,1.26,0.24,79.84,27394.0,1214.0,0.7497216854154124,1.190108992111797
586,삼일제약,000520,9740.0,5500000.0,60.5,0.94,1.54,103.31,968.0,39.0,0.8019788443598678,1.273062061193095
587,인스코비,006490,2445.0,87470467.0,-31.75,6.25,,82.74,371.0,25.0,,
588,일성신약,003120,117000.0,2660000.0,103.17,0.49,0.64,,675.0,25.0,1.108783561920091,1.7600841925969997
589,현대건설,000720,40000.0,111355765.0,7.79,0.7,1.25,157.02,188250.0,11590.0,0.9326165423878725,1.4804364804694536
590,TCC동양,002710,1870.0,22342500.0,2.46,0.38,,73.14,4445.0,154.0,,
591,에이프로젠제약,003060,4540.0,84628928.0,-94.58,4.57,,166.01,441.0,2.0,,
592,F&F,007700,46950.0,15400000.0,23.92,3.19,0.75,111.86,4390.0,456.0,0.5770417702521901,0.9159967131279185
593,아남전자,008700,3320.0,77124820.0,89.73,3.62,,101.75,1676.0,49.0,,
594,현대미포조선,010620,102500.0,20000000.0,59.28,0.95,,116.68,42196.0,2075.0,,
595,GS건설,006360,30750.0,71675237.0,-84.71,0.65,,123.34,110356.0,1430.0,,
596,삼아알미늄,006110,3250.0,11000000.0,35.33,0.34,2.31,54.9,1293.0,36.0,1.1606405141375473,1.8424019730988543
597,한국전자홀딩스,006200,818.0,46803136.0,-2.97,0.3,,94.43,1394.0,22.0,,
598,삼성SDI,006400,203000.0,68764530.0,65.13,1.28,0.74,142.35,52008.0,9263.0,0.7392588122127935,1.17350021618335
599,삼성전기,009150,98800.0,74693696.0,520.0,1.76,0.76,97.17,60330.0,244.0,0.6783365373295801,1.076792132945441
