,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),수익률 (PBR 0.5),수익률 (PBR 2)
287,우신시스템,017370,8120.0,18314054.0,14.82,1.14,0.37,123.57,2643.0,115.0,0.805333424696814,1.2783871255488752
288,LG전자,066570,107500.0,163647814.0,252.94,1.61,0.37,75.02,553670.0,13378.0,0.6837731438522132,1.0854222078586062
289,한국콜마홀딩스,024720,52200.0,16748936.0,23.86,3.44,0.3,79.11,3304.0,612.0,0.5534443062491219,0.8785380739456664
290,S&T모티브,064960,44750.0,14623136.0,19.5,0.96,2.23,155.78,11538.0,716.0,0.8730471044963409,1.3858758920952823
291,광주신세계,037710,231000.0,1600000.0,8.11,0.69,0.54,22.37,2104.0,560.0,0.9667853127236926,1.5346760224449942
292,일진디스플,020760,7630.0,28314440.0,-3.24,3.38,,48.42,1688.0,298.0,,
293,필룩스,033180,3350.0,31265881.0,15.88,1.17,2.25,60.24,1078.0,106.0,0.8004871555910831,1.270694152872317
294,종근당바이오,063160,22800.0,5229489.0,12.64,0.87,1.75,144.66,1130.0,116.0,0.8700553438337407,1.3811267680722334
295,신한지주,055550,52900.0,474199587.0,9.1,0.81,2.74,,222880.0,31086.0,,
296,코웨이,021240,97400.0,74818121.0,30.75,6.04,3.29,90.15,23763.0,3388.0,0.5218005666902155,0.8283067684816506
297,세아홀딩스,058650,159000.0,4000000.0,7.06,0.37,1.1,72.37,40343.0,2348.0,1.158465474368491,1.8389493126813818
298,LG생활건강,051900,1244000.0,15618197.0,38.79,8.23,0.6,77.49,60941.0,8809.0,0.44434571829570935,0.7053548606601743
299,LG화학,051910,423500.0,70592343.0,24.43,2.19,1.18,114.81,206593.0,19919.0,0.6549712137300128,1.0397019936839107
